user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
ERR1018207_M118A.SZAXPI003431-1_bin.40	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	GCF_001314995.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	98.22	0.754	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001688725.2, s__Bacteroides caecimuris, 95.89, 87.77, 0.357; GCA_900556625.1, s__Bacteroides sp900556625, 95.0, 92.61, 0.429; GCF_002222615.2, s__Bacteroides caccae, 95.0, 89.04, 0.344; GCA_019117555.1, s__Bacteroides intestinigallinarum, 95.0, 93.47, 0.564; GCF_000172175.1, s__Bacteroides intestinalis, 95.0, 94.07, 0.633; GCF_012113595.1, s__Bacteroides faecium, 95.0, 83.39, 0.171; GCF_003464595.1, s__Bacteroides intestinalis_A, 95.0, 96.7, 0.707; GCA_900759525.1, s__Bacteroides sp900759525, 95.0, 89.26, 0.361; GCF_958387885.1, s__Bacteroides sp019412865, 95.22, 94.51, 0.623; GCA_947071285.1, s__Bacteroides sp947071285, 95.0, 85.21, 0.202; GCF_000210075.1, s__Bacteroides xylanisolvens, 95.0, 91.58, 0.508; GCF_024623065.1, s__Bacteroides acidifaciens, 95.0, 85.07, 0.2; GCA_948742525.1, s__Bacteroides caecimuris_A, 95.0, 90.73, 0.397; GCF_009193325.2, s__Bacteroides zhangwenhongii, 95.83, 85.29, 0.209; GCA_948579315.1, s__Phocaeicola sp948579315, 95.0, 89.49, 0.211; GCF_009193295.2, s__Bacteroides luhongzhouii, 95.0, 90.1, 0.489; GCF_902364365.1, s__Bacteroides sp900556215, 95.07, 94.69, 0.652; GCF_036416795.1, s__Bacteroides sp036416795, 95.05, 87.8, 0.314; GCF_000513195.1, s__Bacteroides timonensis, 95.0, 88.9, 0.305; GCF_902491285.1, s__Bacteroides sp902491285, 95.0, 83.72, 0.173; GCA_948566455.1, s__Phocaeicola sp948566455, 95.0, 94.44, 0.355; GCF_034291875.1, s__Bacteroides vicugnae, 95.0, 91.83, 0.512; GCF_028539415.1, s__Bacteroides cellulosilyticus, 95.26, 90.13, 0.368; GCF_000315485.1, s__Bacteroides oleiciplenus, 95.0, 83.65, 0.159; GCF_903181435.1, s__Bacteroides sp900765785, 95.0, 83.43, 0.201; GCA_900557355.1, s__Bacteroides sp900557355, 95.0, 94.53, 0.435; GCA_947038155.1, s__Bacteroides sp947038155, 95.0, 84.33, 0.169; GCF_905207245.1, s__Bacteroides sp905207245, 95.0, 85.46, 0.189; GCF_020091405.1, s__Bacteroides sp900552405, 95.23, 88.25, 0.305; GCA_030295565.1, s__Bacteroides finegoldii, 95.0, 85.99, 0.232; GCF_014750685.1, s__Bacteroides sp014750685, 95.0, 83.63, 0.174; GCA_900755095.1, s__Bacteroides sp900755095, 95.0, 94.77, 0.469; GCF_900130125.1, s__Bacteroides congonensis, 95.0, 83.34, 0.179; GCF_041227145.1, s__Bacteroides sp041227145, 95.0, 86.63, 0.316	N/A	N/A	N/A	N/A
ERR1018207_M118A.SZAXPI003431-1_bin.7	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900542625	GCA_900542625.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900542625	99.94	0.974	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_019416865.1, s__Fusobacterium_B sp019416865, 95.0, 83.69, 0.206; GCF_021531595.1, s__Fusobacterium_B sp900554355, 95.0, 83.27, 0.153; GCA_964239055.1, s__Fusobacterium_B sp900541465, 95.0, 83.98, 0.156; GCA_900545035.1, s__Fusobacterium_B sp900545035, 95.0, 84.4, 0.163; GCA_019416805.1, s__Fusobacterium_B sp019416805, 95.0, 83.53, 0.163	N/A	N/A	N/A	N/A
ERR1018208_M117A.SZAXPI003432-12_bin.10	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	GCF_900167555.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	97.81	0.856	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_025757985.1, s__Gemmiger sp900540595, 95.0, 87.61, 0.371; GCF_024462815.1, s__Gemmiger sp900554145, 95.0, 85.43, 0.25; GCF_018784445.1, s__Gemmiger sp900540775, 95.0, 87.42, 0.378; GCA_934502625.1, s__Gemmiger sp934502625, 95.0, 87.04, 0.334	N/A	N/A	N/A	N/A
ERR1018209_509A.SZAXPI003433-7_bin.26	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus;s__Faecalibacillus intestinalis	GCF_003024685.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus;s__Faecalibacillus intestinalis	98.38	0.682	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_958421935.1, s__Faecalibacillus sp900544435, 95.0, 93.0, 0.447; GCF_003024675.1, s__Faecalibacillus faecis, 95.0, 91.11, 0.307; GCA_963618275.1, s__Faecalibacillus sp963618275, 95.0, 91.23, 0.413; GCA_030540195.1, s__Faecalibacillus sp030540195, 95.0, 90.35, 0.292	N/A	N/A	N/A	N/A
ERR1018210_M113A.SZAXPI003434-7_bin.29	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__Thomasclavelia ramosa	GCF_014131695.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__Thomasclavelia ramosa	99.68	0.816	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
ERR1018210_M113A.SZAXPI003434-7_bin.50	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella_A;s__Veillonella_A sp900545795	GCF_900545795.1	95.0	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella_A;s__Veillonella_A sp900545795	99.92	0.991	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
ERR1018211_M2-Pk016A.SZAXPI003435-11_bin.36	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	GCF_900167555.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	97.72	0.85	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_018784445.1, s__Gemmiger sp900540775, 95.0, 87.53, 0.4; GCF_024462815.1, s__Gemmiger sp900554145, 95.0, 85.52, 0.263; GCA_025757985.1, s__Gemmiger sp900540595, 95.0, 86.96, 0.38; GCA_934502625.1, s__Gemmiger sp934502625, 95.0, 87.29, 0.306	N/A	N/A	N/A	N/A
ERR1018211_M2-Pk016A.SZAXPI003435-11_bin.51	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis	GCF_001406815.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis	98.17	0.692	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_002474415.1, s__Agathobacter sp002474415, 95.0, 91.27, 0.536	N/A	N/A	N/A	N/A
ERR1018212_M2-Pk009A.SZAXPI003436-7_bin.27	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis	GCF_001406815.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis	97.9	0.705	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_002474415.1, s__Agathobacter sp002474415, 95.0, 90.9, 0.407	N/A	N/A	N/A	N/A
ERR1018213_M2-Pk004A.SZAXPI003437-3_bin.59	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	GCF_003697165.2	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	99.7	0.946	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_036503815.1, s__Escherichia coli_F, 95.84, 95.73, 0.833; GCF_004211955.1, s__Escherichia sp004211955, 95.0, 93.22, 0.751; GCF_001037495.1, s__Citrobacter murliniae, 95.0, 82.95, 0.152; GCF_019048065.1, s__Citrobacter_A farmeri, 95.0, 82.33, 0.169; GCF_001559075.2, s__Citrobacter_A amalonaticus_F, 95.0, 82.67, 0.167; GCF_000026225.1, s__Escherichia fergusonii, 95.0, 92.51, 0.553; GCF_005281345.1, s__Citrobacter sp005281345, 95.0, 82.48, 0.154; GCA_028994555.1, s__Citrobacter_A amalonaticus_G, 95.0, 82.62, 0.15; GCF_018252635.1, s__Citrobacter_A amalonaticus_E, 95.0, 82.16, 0.164; GCF_024023655.1, s__Citrobacter meridianamericanus, 95.0, 81.97, 0.155; GCF_002965065.1, s__Escherichia sp002965065, 95.0, 94.02, 0.705; GCF_000759835.1, s__Citrobacter_A sedlakii, 95.0, 82.45, 0.176; GCF_002075345.1, s__Citrobacter braakii, 95.0, 81.8, 0.153; GCF_000155975.1, s__Citrobacter portucalensis_A, 95.0, 83.03, 0.159; GCF_004353845.1, s__Citrobacter arsenatis, 95.0, 82.71, 0.163; GCA_011881725.1, s__Escherichia coli_E, 95.0, 92.02, 0.75; GCF_000018045.1, s__Citrobacter_B koseri, 95.0, 82.53, 0.169; GCF_000759775.1, s__Escherichia albertii, 95.0, 90.22, 0.626; GCF_018323885.1, s__Citrobacter_A amalonaticus, 95.0, 82.4, 0.156; GCF_005843885.1, s__Escherichia sp005843885, 95.0, 93.33, 0.776; GCA_020099315.1, s__Citrobacter europaeus, 95.0, 82.36, 0.157; GCF_029717145.1, s__Citrobacter gillenii, 95.0, 82.51, 0.156; GCF_014836715.1, s__Escherichia whittamii, 95.0, 92.0, 0.768; GCF_018342065.1, s__Citrobacter sp018342065, 95.0, 82.13, 0.15; GCF_011064845.1, s__Citrobacter freundii, 95.0, 82.44, 0.165; GCF_031323975.1, s__Escherichia ruysiae, 95.0, 93.23, 0.782; GCA_009363175.1, s__Citrobacter_A telavivensis, 95.0, 82.49, 0.169; GCF_002042885.1, s__Citrobacter portucalensis, 95.0, 82.5, 0.15; GCF_002900365.1, s__Escherichia marmotae, 95.0, 91.0, 0.729; GCF_003818115.1, s__Citrobacter youngae, 95.09, 82.59, 0.162; GCF_000981805.1, s__Citrobacter_A amalonaticus_C, 95.0, 82.73, 0.164; GCF_015672735.1, s__Citrobacter sp015672735, 95.0, 82.64, 0.152; GCF_004684345.1, s__Citrobacter tructae, 95.0, 82.37, 0.153	N/A	N/A	N/A	N/A
ERR1018214_M2-PK018A.SZAXPI015209-133_bin.44	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A mortiferum	GCF_000158195.2	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A mortiferum	99.02	0.908	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_019410665.1, s__Fusobacterium_A sp019410665, 95.0, 85.95, 0.224; GCA_018883725.1, s__Fusobacterium_A pullicola, 95.0, 85.04, 0.292; GCA_900764925.1, s__Fusobacterium_A sp900764925, 95.0, 85.01, 0.201; GCF_900450765.1, s__Fusobacterium_A necrogenes, 95.0, 89.48, 0.411; GCF_905193685.1, s__Fusobacterium_A sp900555485, 95.0, 86.23, 0.306	N/A	N/A	N/A	N/A
ERR1018215_M2-PK037B.SZAXPI015210-17_bin.49	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes sp900066705	GCA_902362875.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes sp900066705	98.43	0.801	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_019423795.1, s__Anaerostipes sp019423795, 95.0, 88.35, 0.384; GCA_036312945.1, s__Anaerostipes hadrus_C, 95.0, 87.55, 0.37; GCF_025567365.1, s__Anaerostipes amylophilus, 95.0, 90.49, 0.497; GCF_030296915.1, s__Anaerostipes hadrus, 95.0, 87.46, 0.371	N/A	N/A	N/A	N/A
ERR1018217_M2-PK801A.SZAXPI015212-113_bin.47	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	GCF_900167555.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	98.08	0.874	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_018784445.1, s__Gemmiger sp900540775, 95.0, 87.59, 0.356; GCA_934502625.1, s__Gemmiger sp934502625, 95.0, 87.79, 0.295; GCF_024462815.1, s__Gemmiger sp900554145, 95.0, 86.23, 0.247; GCA_025757985.1, s__Gemmiger sp900540595, 95.0, 88.04, 0.376	N/A	N/A	N/A	N/A
ERR1018223_M2-PK032A.SZAXPI015218-16_bin.50	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__	N/A	N/A	N/A	N/A	N/A	GCF_000235465.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium sp000235465	98.17	0.492	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000160475.1, s__Fusobacterium periodonticum, 95.0, 93.63, 0.288; GCF_000163935.1, s__Fusobacterium periodonticum_B, 95.0, 92.81, 0.288; GCF_002763915.1, s__Fusobacterium periodonticum_D, 95.08, 92.05, 0.264; GCF_002761955.1, s__Fusobacterium pseudoperiodonticum, 95.0, 91.96, 0.281; GCF_031191795.1, s__Fusobacterium nucleatum, 95.0, 89.37, 0.162; GCF_028621995.1, s__Fusobacterium nucleatum_J, 95.0, 88.96, 0.152; GCF_037889385.1, s__Fusobacterium nucleatum_K, 95.0, 88.9, 0.159; GCF_014217355.1, s__Fusobacterium hwasookii, 95.0, 88.85, 0.155; GCF_963524875.1, s__Fusobacterium sp963524875, 95.0, 88.59, 0.156	37.59	11	0.99955	Genome has more than 45.8% of markers with multiple hits
ERR1018224_M2-PK003A.SZAXPI015219-129_bin.12	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia timonensis	GCF_900106845.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia timonensis	98.82	0.836	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_937880075.1, s__Romboutsia sp937880075, 95.0, 91.19, 0.479; GCF_900015215.1, s__Romboutsia ilealis, 95.0, 92.41, 0.601; GCF_904418825.1, s__Romboutsia sp904418825, 95.0, 90.4, 0.465; GCF_018336475.1, s__Romboutsia sp018336475, 95.0, 86.83, 0.32	N/A	N/A	N/A	N/A
ERR1018227_M2-PK002A.SZAXPI015222-123_bin.47	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A mortiferum	GCF_000158195.2	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A mortiferum	99.21	0.848	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_018883725.1, s__Fusobacterium_A pullicola, 95.0, 85.3, 0.288; GCF_900450765.1, s__Fusobacterium_A necrogenes, 95.0, 89.11, 0.399; GCA_900764925.1, s__Fusobacterium_A sp900764925, 95.0, 84.65, 0.211; GCA_019410665.1, s__Fusobacterium_A sp019410665, 95.0, 86.08, 0.207; GCF_905193685.1, s__Fusobacterium_A sp900555485, 95.0, 85.6, 0.293	N/A	N/A	N/A	N/A
ERR1018227_M2-PK002A.SZAXPI015222-123_bin.53	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	GCF_000020605.1	95.02	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	97.13	0.799	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_934365945.1, s__Agathobacter sp934365945, 95.0, 93.17, 0.51; GCA_937935345.1, s__Agathobacter sp900546625, 95.0, 94.19, 0.741; GCA_902786155.1, s__Agathobacter sp900317585, 95.0, 94.58, 0.588	N/A	N/A	N/A	N/A
ERR1018228_M2-PK023A.SZAXPI015223-158_bin.34	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum soehngenii	GCF_900209925.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum soehngenii	96.64	0.562	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_000173975.1, s__Anaerobutyricum hallii, 95.0, 88.34, 0.165; GCA_934317185.1, s__Anaerobutyricum sp934317185, 95.0, 87.03, 0.194	N/A	N/A	N/A	N/A
ERR1018228_M2-PK023A.SZAXPI015223-158_bin.76	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__Eubacterium_G ventriosum	GCF_025150745.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__Eubacterium_G ventriosum	98.48	0.888	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
ERR1018229_M2-PK027A.SZAXPI015224-13_bin.16	d__Bacteria;p__Bacillota;c__Bacilli;o__MOL361;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter bilis	GCF_024499055.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__MOL361;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter bilis	98.74	0.858	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
ERR1018229_M2-PK027A.SZAXPI015224-13_bin.37	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	GCF_900167555.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	97.63	0.884	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_018784445.1, s__Gemmiger sp900540775, 95.0, 88.85, 0.382; GCA_934502625.1, s__Gemmiger sp934502625, 95.0, 88.96, 0.273; GCF_024462815.1, s__Gemmiger sp900554145, 95.0, 87.33, 0.251; GCA_025757985.1, s__Gemmiger sp900540595, 95.0, 89.14, 0.371	N/A	N/A	N/A	N/A
ERR1018231_M2-PK029A.SZAXPI015226-14_bin.25	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	GCF_900167555.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	97.64	0.863	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_018784445.1, s__Gemmiger sp900540775, 95.0, 88.78, 0.354; GCF_024462815.1, s__Gemmiger sp900554145, 95.0, 87.8, 0.246; GCA_025757985.1, s__Gemmiger sp900540595, 95.0, 89.45, 0.351; GCA_934502625.1, s__Gemmiger sp934502625, 95.0, 88.93, 0.288	N/A	N/A	N/A	N/A
ERR1018232_536A.SZAXPI015227-13_bin.44	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (7.6%)
ERR1018232_536A.SZAXPI015227-13_bin.6	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp900539695	GCA_025758045.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp900539695	98.39	0.869	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_963655125.1, s__Gemmiger sp963655125, 95.0, 90.62, 0.591; GCA_004554775.1, s__Gemmiger variabilis_B, 95.0, 88.55, 0.464; GCA_963588145.1, s__Gemmiger sp963588145, 95.0, 89.62, 0.492	N/A	N/A	N/A	N/A
ERR1018235_519A.SZAXPI015230-16_bin.26	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.6%)
ERR1018235_519A.SZAXPI015230-16_bin.41	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis	GCF_001406815.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis	98.77	0.805	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_002474415.1, s__Agathobacter sp002474415, 95.0, 90.91, 0.468	N/A	N/A	N/A	N/A
ERR1018235_519A.SZAXPI015230-16_bin.42	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	GCF_900167555.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	98.0	0.854	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_018784445.1, s__Gemmiger sp900540775, 95.0, 87.28, 0.388; GCF_024462815.1, s__Gemmiger sp900554145, 95.0, 85.12, 0.233; GCA_934502625.1, s__Gemmiger sp934502625, 95.0, 87.5, 0.279; GCA_025757985.1, s__Gemmiger sp900540595, 95.0, 86.75, 0.348	N/A	N/A	N/A	N/A
ERR1018236_517A.SZAXPI015231-17_bin.39	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella;s__Paraprevotella clara	GCF_000233955.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella;s__Paraprevotella clara	98.06	0.866	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_000205165.1, s__Paraprevotella xylaniphila, 95.0, 92.16, 0.668	N/A	N/A	N/A	N/A
ERR1018236_517A.SZAXPI015231-17_bin.43	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	GCF_003697165.2	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	97.02	0.836	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_002965065.1, s__Escherichia sp002965065, 95.0, 94.51, 0.662; GCF_031323975.1, s__Escherichia ruysiae, 95.0, 92.47, 0.719; GCF_019048065.1, s__Citrobacter_A farmeri, 95.0, 82.56, 0.153; GCA_011881725.1, s__Escherichia coli_E, 95.0, 92.15, 0.741; GCF_005843885.1, s__Escherichia sp005843885, 95.0, 92.7, 0.728; GCF_004211955.1, s__Escherichia sp004211955, 95.0, 93.06, 0.722; GCA_009363175.1, s__Citrobacter_A telavivensis, 95.0, 82.52, 0.157; GCA_028994555.1, s__Citrobacter_A amalonaticus_G, 95.0, 82.33, 0.151; GCF_014836715.1, s__Escherichia whittamii, 95.0, 91.61, 0.717; GCF_002900365.1, s__Escherichia marmotae, 95.0, 90.71, 0.656; GCF_001559075.2, s__Citrobacter_A amalonaticus_F, 95.0, 82.75, 0.16; GCF_000018045.1, s__Citrobacter_B koseri, 95.0, 83.32, 0.169; GCF_000026225.1, s__Escherichia fergusonii, 95.0, 91.85, 0.498; GCF_000981805.1, s__Citrobacter_A amalonaticus_C, 95.0, 82.66, 0.157; GCF_000759775.1, s__Escherichia albertii, 95.0, 90.08, 0.585; GCF_036503815.1, s__Escherichia coli_F, 95.84, 96.04, 0.85	N/A	N/A	N/A	N/A
ERR1018236_517A.SZAXPI015231-17_bin.9	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	GCF_900167555.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	98.0	0.897	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_024462815.1, s__Gemmiger sp900554145, 95.0, 85.44, 0.255; GCA_934502625.1, s__Gemmiger sp934502625, 95.0, 87.7, 0.314; GCA_025757985.1, s__Gemmiger sp900540595, 95.0, 87.27, 0.382; GCF_018784445.1, s__Gemmiger sp900540775, 95.0, 87.3, 0.4	N/A	N/A	N/A	N/A
